نوع المستند *,نوع الضريبة *,نوع سلع الجدول *,رقم الفاتورة *,اسم العميل *,رقم التسجيل الضريبي للعميل *,رقم الملف الضريبي للعميل,العنوان *,الرقم القومي / رقم جواز السفر,رقم الموبيل,تاريخ الفاتورة *,إسم المنتج *,كود المنتج,نوع البيان *,نوع السلعة *,وحدة قياس المنتج,سعر الوحدة *,فئة الضريبة *,كمية المنتج *,المبلغ الإجمالي *,قيمة الخصم,المبلغ الصافي *,قيمة الضريبة *,الإجمالي *
1,1,1,086,العتال جروب كومبانيز,200134159,,"عماره بلوك 115 المنطقه السابعه م نصر, Nasr City 1, Cairo",,,2026-01-02,"Lenovo monitor 2k 27 inch
",10001118,1,1,EA,5500,1,5,27500,0,27500,4125,31075
1,1,1,087,شركه سيستم وان,200235524,," منطقة س  المقطم, El Khalifa, Cairo",,,2026-01-13,Maintenance,EG-767043545-9,1,1,EA,1650,1,1,1650,0,1650,247.5,1864.5
1,1,1,089,شركه الموزعون المتحدون,207429855,,"المنطقه الصناعيه , 10th of Ramadan City 1, Sharqia ",,,2026-01-19,Cooling System Maintenance– Pro Plan + RTC and shipping ,EG-767043545-9,1,1,EA,900,1,1,900,0,900,135,1017
1,1,1,090,شركه الموزعون المتحدون,207429855,,"المنطقه الصناعيه , 10th of Ramadan City 1, Sharqia ",,,2026-01-19,Fix Power Issue | CPU Circuit + Fix Original Bios and Reprogramming,EG-767043545-9,1,1,EA,1250,1,1,1250,0,1250,187.5,1412.5
1,1,1,091,جي تي سي اي لانشاءات مشاريع الطاقه والبنيه التحتيه,602198038,,"شارع 26يوليو الازبكيه  شقه رقم 6  الدور الثالث  القاهره, Azbakeya, Cairo",,,2026-01-19,"20-inch FHD monitor + KB mouse and cables bundle
",10001118,1,1,EA,2000,1,3,6000,0,6000,900,6780
1,1,1,091,جي تي سي اي لانشاءات مشاريع الطاقه والبنيه التحتيه,602198038,,"شارع 26يوليو الازبكيه  شقه رقم 6  الدور الثالث  القاهره, Azbakeya, Cairo",,,2026-01-19,"W.S Hp Z4 G4
",10001118,1,1,EA,18000,1,3,54000,0,54000,8100,61020
1,1,1,091,جي تي سي اي لانشاءات مشاريع الطاقه والبنيه التحتيه,602198038,,"شارع 26يوليو الازبكيه  شقه رقم 6  الدور الثالث  القاهره, Azbakeya, Cairo",,,2026-01-19,"Dell Precision 3561
",10001118,1,1,EA,22000,1,1,22000,0,22000,3300,24860
1,1,1,091,جي تي سي اي لانشاءات مشاريع الطاقه والبنيه التحتيه,602198038,,"شارع 26يوليو الازبكيه  شقه رقم 6  الدور الثالث  القاهره, Azbakeya, Cairo",,,2026-01-19,"Dell Latitude 5520
",10001118,1,1,EA,14000,1,1,14000,0,14000,2100,15820
1,1,1,091,جي تي سي اي لانشاءات مشاريع الطاقه والبنيه التحتيه,602198038,,"شارع 26يوليو الازبكيه  شقه رقم 6  الدور الثالث  القاهره, Azbakeya, Cairo",,,2026-01-19,"USB Ethernet
",10001118,1,1,EA,200,1,5,1000,0,1000,150,1130
